ISO Code,Avg Monthly Temp,Country Temp Range,Hottest Monthly Temp,dY/dT,dY/dT Significance,Household Temp Range,dY/dR,dY/dR Significance,
ALB,14.48,8.82,25.35,4387,97.94%,19.88,-15156,99.98%,
AGO,22.42,6.82,24.51,130576,100.00%,5.07,236556,100.00%,
BGD,24.84,6.19,29.06,15121,100.00%,12.35,13188,100.00%,
BOL,14.40,21.71,17.24,840,99.52%,6.76,10688,100.00%,
BEN,27.88,2.80,30.23,-39311,100.00%,4.71,-45745,100.00%,
BDI,20.81,4.28,22.80,15582,100.00%,4.09,-59363,100.00%,
KHM,27.98,3.39,29.94,-12697,99.66%,5.47,-11943,100.00%,
COD,23.90,9.23,25.14,3209,75.13%,2.81,33758,100.00%,
CMR,25.32,8.32,28.36,-11457,100.00%,5.69,-25370,100.00%,
COM,25.32,1.99,27.01,-45609,100.00%,4.37,-231398,100.00%,
COL,21.16,18.08,21.96,-5058,100.00%,1.65,-39298,100.00%,
CAF,25.45,4.99,27.71,-22734,100.00%,4.19,-36776,100.00%,
DOM,24.88,7.88,27.32,6613,99.98%,4.21,2979,18.97%,
EGY,22.44,8.68,29.02,-12872,100.00%,15.39,-10130,100.00%,
ETH,19.47,16.84,21.82,-1718,98.12%,4.79,468,22.18%,
GAB,26.08,3.07,27.63,43875,100.00%,3.87,47689,100.00%,
GHA,27.53,2.96,29.93,-31028,100.00%,4.55,-50172,100.00%,
GIN,26.07,4.30,28.72,-6103,96.45%,4.89,-42975,100.00%,
GUY,25.87,5.43,27.88,64625,100.00%,3.22,65074,100.00%,
HTI,24.78,3.38,27.00,24828,100.00%,3.82,4296,32.99%,
HND,23.05,7.34,24.78,59,4.40%,3.50,-2919,52.31%,
IDN,26.57,6.89,27.20,14950,100.00%,1.46,-3173,41.47%,
CIV,26.63,3.13,29.01,12565,99.98%,4.28,14411,99.94%,
JOR,18.51,6.31,25.78,23912,99.99%,15.78,-25957,100.00%,
KEN,21.21,15.88,23.72,-5669,99.80%,4.88,62895,100.00%,
KGZ,7.33,15.89,20.13,-86,9.62%,27.83,-9826,100.00%,
LBR,25.95,1.73,27.69,138923,100.00%,3.49,70740,99.95%,
LSO,14.19,6.60,20.08,21386,100.00%,12.41,52807,100.00%,
MDG,21.59,9.85,24.49,-7939,100.00%,6.53,49,1.79%,
MDA,10.93,2.11,22.23,8285,84.82%,24.76,-45239,99.64%,
MWI,22.29,7.09,25.87,-3224,92.81%,7.85,18218,99.66%,
MLI,28.39,3.43,33.14,-136948,100.00%,9.25,-146820,100.00%,
MAR,17.80,12.42,26.40,-5045,98.50%,15.37,-5426,100.00%,
MOZ,24.19,7.57,27.40,12781,100.00%,7.31,13861,100.00%,
NER,29.27,3.12,34.42,18785,99.96%,10.35,3089,46.61%,
NGA,27.31,9.08,31.13,-29514,100.00%,6.89,-26650,100.00%,
NPL,20.13,24.12,26.16,4143,100.00%,14.67,-7960,98.67%,
PER,16.31,24.03,19.02,6251,100.00%,5.18,26167,100.00%,
PHL,26.59,8.23,28.29,13796,100.00%,3.14,49762,100.00%,
RWA,19.33,4.67,20.98,4456,99.92%,3.98,-4444,36.15%,
SEN,27.39,4.80,30.38,-22717,100.00%,6.65,-15632,100.00%,
SLE,26.51,1.98,28.67,-72277,100.00%,3.84,-53785,100.00%,
TJK,11.89,22.01,24.36,-503,55.85%,26.17,-13621,100.00%,
TGO,27.38,2.93,29.97,-15564,100.00%,4.92,-21143,100.00%,
TLS,25.05,1.81,25.83,-76030,100.00%,2.03,-344124,100.00%,
TZA,22.99,9.09,25.32,11491,100.00%,4.86,-289,4.85%,
UGA,23.04,9.09,25.24,-7103,100.00%,4.09,-33896,100.00%,
BFA,28.79,2.99,33.31,-12849,100.00%,8.25,-10554,100.00%,
NAM,21.36,7.24,25.32,-20679,100.00%,9.58,8185,100.00%,
SWZ,20.48,6.77,24.92,-12198,100.00%,8.57,-1712,17.67%,
ZMB,21.69,6.52,24.94,-19689,100.00%,7.63,25346,100.00%,
ZWE,20.68,7.19,24.24,-18710,100.00%,8.78,-16171,100.00%,
