cc,n,r2,coeff,std_err,t,p,lower,upper,avg_temp,quintile,urb_rur,id,min_temp,max_temp,sd_temp,temp_range,min_hottest,max_hottest,sd_hottest,avg_hottest,hottest_range,p_old,zero,avg_zero,subset,avg_hot_bin,r2_r,coeff_r,std_err_r,t_r,p_r,lower_r,upper_r,avg_r,min_r,max_r,sd_r,r2_v,coeff_v,std_err_v,t_v,p_v,lower_v,upper_v,avg_v,min_v,max_v,sd_v,lat,lon,iso,name
AL,7982,0.010608263,4387.313968,1887.947098,2.323854292,0.020584885,676.8684591,8097.759478,14.47872293,0,n,0,8.291666985,17.11666679,2.687937307,8.8249998,19.79999924,27.89999962,2.325731621,25.35174955,8.1000004,2.84E-20,0,14.18973,1,22,0.027381767,-15155.878,4089.2,-3.7063186,0.000236929,-23192.52,-7119.2368,19.875799,18.5,22.4,1.0816476,0.022639317,-40675.012,12071.523,-3.3695011,0.000818913,-64399.578,-16950.443,7.1914105,6.7182021,8.0729628,0.36647147,41.22856,19.96566,ALB,Albania
AO,7752,0.126062704,130576.2476,19128.60439,6.826229709,8.22E-11,92879.36547,168273.1297,22.41906694,0,n,1,18.61666679,25.44166565,2.355779236,6.8249989,20.39999962,28.10000038,2.745265098,24.50749252,7.7000008,4.39E-229,0,14.18973,1,14,0.15736136,236556.11,25177.785,9.3954296,7.21E-18,186938.06,286174.16,5.0714059,1.8000011,9,1.693051,0.09888646,591616.69,88250.953,6.7037992,1.66E-10,417699.88,765533.5,1.5461615,0.49931774,3.1273961,0.53664017,-10.91652,15.21256,AGO,Angola
BG,17109,0.012908665,15120.5552,3045.880488,4.964264112,9.06E-07,9138.362432,21102.74796,24.83606291,0,n,2,20.31666756,26.50833321,0.63972998,6.1916656,24.70000076,30.39999962,0.723497038,29.06237868,5.6999989,2.91E-50,0,14.18973,,43,0.018279137,13187.857,2492.0952,5.2918754,1.71E-07,8293.3135,18082.4,12.346028,9.2999992,13.5,0.98711431,1.20E-05,874.65442,5886.0093,0.14859889,0.88192135,-10685.629,12434.938,4.3189821,3.1927474,4.90136,0.38152438,23.95427,90.13753,BGD,Bangladesh
BL,19495,0.003700345,839.879924,297.4036933,2.824039993,0.004838385,256.2586007,1423.501247,14.39716447,0,n,3,5.375,27.08333397,6.872224673,21.708334,7.599999905,28.79999924,7.26528705,17.24109121,21.199999,1.88E-17,0,14.18973,1,1,0.025988935,10688.115,1527.686,6.9962773,4.87E-12,7690.2031,13686.027,6.7550359,2.3999996,12.200001,1.5130105,0.017705642,24728.141,4264.1245,5.7991138,8.99E-09,16360.276,33096.008,2.3538907,0.73340189,4.3411613,0.53977555,-17.72805,-65.87945,BOL,Bolivia
BN,17327,0.156896519,-39311.49915,1784.041045,-22.03508673,1.02E-82,-42814.01869,-35808.9796,27.88464555,0,n,4,26.71666718,29.51666641,0.341438651,2.7999992,29.39999962,33.59999847,1.038328791,30.2276719,4.1999989,0,0,14.18973,1,47,0.19136953,-45744.738,1985.4983,-23.039425,0,-49642.77,-41846.707,4.7106729,3.6999989,7.6999989,0.98546928,0.13188548,-151420.28,7876.5093,-19.224289,0,-166883.84,-135956.72,1.5205119,1.2755274,2.730967,0.24715094,7.763661,2.233768,BEN,Benin
BY,8594,0.058950022,15582.48818,2092.002717,7.448598443,6.81E-13,11468.67164,19696.30472,20.80886381,0,n,5,18.43333435,22.71666718,1.254482473,4.2833328,20.29999924,24.5,1.288894103,22.79887806,4.2000008,1.55E-115,0,14.18973,1,9,0.057393655,-59362.656,7738.4971,-7.6710835,1.55E-13,-74580.016,-44145.297,4.0894532,3.5999985,4.7999992,0.33383408,0.091996349,-402052.84,49200.5,-8.1717234,4.98E-15,-498803.13,-305302.56,1.0003062,0.90033668,1.1397432,0.062404256,-3.29295,29.81715,BDI,Burundi
CB,15572,0.004772248,-12697.35283,4320.469055,-2.938882947,0.003427591,-21183.36717,-4211.338485,27.98020869,0,n,6,24.94166756,28.33333397,0.368361476,3.3916664,26.70000076,31,0.537190787,29.93596203,4.2999992,6.13E-18,0,14.18973,,45,0.01340984,-11942.674,1959.9012,-6.0935078,2.04E-09,-15792.198,-8093.1499,5.4721847,3.8000011,8,0.95739353,0.008525996,-32153.602,6636.8423,-4.8447137,1.64E-06,-45189.305,-19117.902,1.4435228,1.005892,2.2528601,0.28354576,12.22315,104.7392,KHM,Cambodia
CG,16678,0.003523524,3209.332329,2778.50786,1.155056056,0.24865312,-2250.472851,8669.13751,23.90170047,0,n,7,17.01666641,26.25,2.344579393,9.2333336,18.39999962,27.89999962,2.112849399,25.14246268,9.5,1.69E-14,0,14.18973,,18,0.20263383,33757.957,3010.2842,11.21421,4.96E-26,27842.709,39673.207,2.8135722,0.89999962,7.8999996,1.5232613,0.21583463,106397.62,9608.8926,11.072827,1.74E-25,87516.016,125279.22,0.83706647,0.26784766,2.7132113,0.49879634,-3.266198,22.68719,COD,Congo (Kinshasa)
CM,14172,0.13326074,-11457.37188,728.7884126,-15.72112245,2.47E-46,-12888.89271,-10025.85104,25.31832101,0,n,8,20.75833321,29.07500076,2.417383062,8.3166676,23.39999962,33.79999924,3.22501437,28.36137399,10.4,0,0,14.18973,1,38,0.28561786,-25369.941,982.63684,-25.818228,0,-27300.084,-23439.801,5.6940341,2.5,10.400002,2.1322532,0.2883341,-73128.227,2627.2456,-27.834562,0,-78288.789,-67967.672,1.7501574,0.82622725,3.382699,0.74323899,5.815808,11.69429,CMR,Cameroon
CN,4289,0.144070765,-45609.06943,4451.255976,-10.24633714,1.28E-20,-54378.34129,-36839.79758,25.32380071,0,n,9,24.41666603,26.40833282,0.746230631,1.9916668,26.10000038,28.10000038,0.758735916,27.01234331,2,4.86E-147,0,14.18973,1,29,0.081849746,-231398.02,35253.785,-6.5637779,3.30E-10,-300850.31,-161945.7,4.3650107,4.1000004,4.6000004,0.11272051,2.85E-05,30974.385,213107.3,0.14534643,0.88456142,-388861.22,450810,1.4582709,1.4089538,1.4804534,0.015708821,-11.97655,43.79512,COM,Comoros
